index,FName,LName,ERA,IP,BB,Hard Hits,FIP,WHIP,WHHIP
885,Matt,Wisler,3.70,48.66,11,31,2.96,1.07,0.863
886,Nick,Wittgren,5.05,62.33,17,91,4.84,1.25,1.733
887,Asher,Wojciechowski,4.50,4,3,3,7.42,1.50,1.500
888,Alex,Wood,3.83,138.66,39,153,3.48,1.18,1.385
889,Hunter,Wood,3.60,5,2,5,4.97,0.80,1.400
890,Jake,Woodford,3.99,67.66,25,86,4.50,1.34,1.641
891,Brandon,Woodruff,2.56,179.33,43,145,2.96,0.96,1.048
892,Brandon,Workman,5.46,28,21,48,5.49,2.04,2.464
893,Kyle,Wright,9.95,6.33,5,11,9.64,1.89,2.528
894,Mike,Wright Jr.,5.50,18,11,20,4.84,1.56,1.722
895,Austin,Wynns,9.00,1,0,3,16.17,1.00,3.000
896,Miguel,Yajure,8.40,15,7,19,8.50,1.60,1.733
897,Jordan,Yamamoto,4.05,6.66,2,8,4.07,1.80,1.502
898,Hyeon-jong,Yang,5.60,35.33,16,50,6.51,1.64,1.868
899,Ryan,Yarbrough,5.11,155,27,141,4.45,1.23,1.084
900,Eric,Yardley,6.75,18.66,10,29,6.81,1.82,2.090
901,Huascar,Ynoa,4.05,91,25,105,3.93,1.11,1.429
902,Alex,Young,6.58,52,27,69,6.25,1.77,1.846
903,Daniel,Zamora,6.23,4.33,1,7,5.48,1.38,1.848
904,Angel,Zerpa,0.00,5,1,4,2.17,0.80,1.000
905,T.J.,Zeuch,6.60,15,9,28,9.10,2.00,2.467
906,Kyle,Zimmer,4.83,54,30,56,4.82,1.41,1.593
907,Jordan,Zimmermann,7.94,5.66,2,11,7.05,1.76,2.297
908,Bruce,Zimmermann,5.04,64.33,22,91,5.38,1.51,1.757
909,Tyler,Zuber,6.26,27.33,17,35,6.17,1.57,1.903
