index,FName,LName,ERA,IP,BB,Hard Hits,FIP,WHIP,WHHIP
569,Kyle,Muller,4.17,36.66,20,40,3.66,1.25,1.637
570,Andres,Munoz,0.00,0.66,2,1,9.17,3.00,4.545
571,Patrick,Murphy,5.14,28,10,39,3.99,1.46,1.750
572,Joe,Musgrove,3.18,181.33,54,182,3.70,1.08,1.301
573,Tommy,Nance,7.22,28.66,13,34,5.02,1.33,1.640
574,Packy,Naughton,6.35,22.66,14,31,5.82,1.81,1.986
575,Nick,Neidert,4.54,35.66,23,39,5.81,1.51,1.739
576,Nick,Nelson,8.79,14.33,16,16,4.08,2.16,2.233
577,Kyle,Nelson,9.31,9.66,8,7,4.62,1.86,1.553
578,Jimmy,Nelson,1.86,29,13,17,1.89,0.93,1.034
579,Hector,Neris,3.63,74.33,32,62,4.08,1.17,1.265
580,Jake,Newberry,16.62,4.33,3,6,8.94,3.00,2.079
581,Sean,Newcomb,4.73,32.33,27,27,3.60,1.70,1.670
582,Ljay,Newsome,7.98,14.66,3,23,6.03,1.57,1.774
583,Vinny,Nittoli,18.00,1,2,3,20.17,3.00,5.000
584,Stephen,Nogosek,6.00,3,0,2,8.50,1.00,0.667
585,John,Nogowski,15.00,3,0,5,3.17,2.67,1.667
586,Aaron,Nola,4.63,180.66,39,178,3.37,1.13,1.201
587,Sean,Nolin,4.39,26.66,13,36,5.31,1.69,1.838
588,Daniel,Norris,6.16,57,30,71,4.87,1.49,1.772
589,Aaron,Northcraft,2.25,8,8,13,6.55,1.63,2.625
590,James,Norwood,0.00,5,3,7,3.77,1.80,2.000
591,Darien,Nunez,8.22,7.66,4,7,7.74,1.57,1.436
592,Riley,O'Brien,13.50,1.33,3,2,26.42,3.75,3.759
593,Darren,O'Day,3.38,10.66,4,12,4.95,1.22,1.501
594,Bailey,Ober,4.19,92.33,19,110,4.56,1.20,1.397
595,Jake,Odorizzi,4.21,104.66,34,123,4.48,1.25,1.500
596,Shohei,Ohtani,3.18,130.33,44,129,3.52,1.09,1.327
597,Steven,Okert,2.75,36,15,30,4.34,1.03,1.250
598,Kaleb,Ort,0.00,0.33,1,1,12.17,6.00,6.061
599,Oliver,Ortega,4.82,9.33,2,17,4.67,1.50,2.036
600,Josh,Osich,5.02,14.33,5,16,6.59,1.40,1.465
601,Corey,Oswalt,3.48,10.33,2,14,3.07,1.35,1.549
602,Adam,Ottavino,4.21,62,35,48,3.96,1.45,1.339
603,Glenn,Otto,9.26,23.33,8,27,3.17,1.71,1.500
604,Connor,Overton,4.70,15.33,5,17,3.89,1.24,1.435
605,Luis,Oviedo,8.80,29.66,26,37,5.66,1.99,2.124
606,Johan,Oviedo,4.91,62.33,37,68,5.27,1.57,1.685
607,Chris,Paddack,5.07,108.33,22,144,3.78,1.26,1.532
608,Emilio,Pagan,4.83,63.33,18,79,5.22,1.17,1.532
609,Enoli,Paredes,6.23,8.66,17,10,6.29,2.77,3.118
610,Blake,Parker,3.09,43.66,14,42,4.06,1.31,1.283
611,Luis,Patino,4.31,77.33,29,91,4.51,1.27,1.552
612,Spencer,Patton,3.83,42.33,15,31,3.19,1.20,1.087
613,David,Paulino,9.00,2,0,3,9.67,1.50,1.500
614,James,Paxton,6.75,1.33,1,0,2.42,0.75,0.752
615,Joel,Payamps,3.40,50.33,14,45,4.10,1.15,1.172
616,Brad,Peacock,15.19,5.33,3,10,9.17,1.69,2.439
617,Matt,Peacock,4.90,86.33,28,141,4.98,1.56,1.958
618,Nate,Pearson,4.20,15,12,18,4.64,1.73,2.000
619,Elvis,Peguero,27.00,2.33,3,4,8.31,4.29,3.004
620,Felix,Pena,37.80,1.66,4,3,7.97,6.60,4.217
621,Wandy,Peralta,3.35,51,21,45,4.31,1.37,1.294
622,Freddy,Peralta,2.81,144.33,56,99,3.12,0.97,1.074
623,Wily,Peralta,3.07,93.66,38,115,4.94,1.33,1.634
624,David,Peralta,27.00,1,0,5,17.17,4.00,5.000
625,Angel,Perdomo,6.35,17,16,14,6.11,1.65,1.765
626,Cionel,Perez,6.38,24,20,28,6.30,1.71,2.000
627,Francisco,Perez,4.05,6.66,3,9,3.02,1.35,1.802
628,Hernan,Perez,0.00,2,0,0,1.17,0.50,0.000
629,Martin,Perez,4.74,114,36,154,4.82,1.51,1.667
630,Oliver,Perez,0.00,3.66,1,5,1.81,1.64,1.639
631,Dillon,Peters,3.71,26.66,10,34,3.66,1.35,1.650
632,David,Peterson,5.54,66.66,29,77,4.78,1.40,1.590
633,Jace,Peterson,9.00,2,1,1,2.67,2.50,1.000
634,Yusmeiro,Petit,3.92,78,12,77,4.72,1.04,1.141
635,Jake,Petricka,15.00,6,7,12,6.67,2.17,3.167
636,David,Phelps,0.87,10.33,4,8,1.72,1.16,1.162
637,Evan,Phillips,3.38,13.33,5,16,3.85,1.20,1.575
638,Brett,Phillips,9.00,1,2,0,9.17,4.00,2.000
639,Kevin,Pillar,0.00,0.33,0,0,3.17,0.00,0.000
640,Michael,Pineda,3.62,109.33,21,160,4.21,1.23,1.656
641,Nick,Pivetta,4.53,155,65,167,4.28,1.30,1.497
642,Kevin,Plawecki,0.00,1,0,1,3.17,0.00,1.000
643,Zach,Plesac,4.67,142.66,34,197,4.73,1.20,1.619
644,Adam,Plutko,6.71,56.33,27,72,7.13,1.63,1.758
645,Drew,Pomeranz,1.75,25.66,10,24,3.01,1.13,1.325
646,Cody,Ponce,7.04,38.33,11,50,4.94,1.75,1.591
647,Daniel,Ponce de Leon,6.21,33.33,22,40,6.11,1.62,1.860
648,Zach,Pop,4.12,54.66,24,54,3.77,1.43,1.427
649,Sean,Poppen,5.16,22.66,9,35,3.61,1.76,1.942
650,Cody,Poteet,4.99,30.66,16,36,5.62,1.34,1.696
651,Ryan,Pressly,2.25,64,13,63,2.06,0.97,1.188
652,David,Price,4.03,73.66,26,83,4.23,1.43,1.480
653,Austin,Pruitt,3.68,7.33,0,11,5.76,0.95,1.501
654,A.J.,Puk,6.08,13.33,6,21,3.32,1.80,2.026
655,Kevin,Quackenbush,27.00,0.33,0,2,-2.83,9.00,6.061
656,Cal,Quantrill,2.89,149.66,47,150,4.07,1.18,1.316
657,Jose,Quijada,4.56,25.66,15,27,3.09,1.36,1.637
658,Jose,Quintana,6.43,63,35,80,4.66,1.73,1.825
659,Tanner,Rainey,7.39,31.66,25,38,5.63,1.71,1.990
660,Brooks,Raley,4.78,49,16,26,3.27,1.20,0.857
661,Noe,Ramirez,3.00,36,12,29,3.89,0.97,1.139
662,Roel,Ramirez,81.00,0.33,2,2,21.17,9.00,12.121
663,Nick,Ramirez,5.75,20.33,7,24,4.10,1.48,1.525
664,Yefry,Ramirez,0.00,2,1,2,2.67,0.50,1.500
665,Yohan,Ramirez,3.90,27.66,12,19,5.09,1.08,1.121
666,Erasmo,Ramirez,5.74,26.66,5,33,4.30,1.09,1.425
667,AJ,Ramos,0.00,4.66,2,2,3.17,0.43,0.858
668,Drew,Rasmussen,2.84,76,25,105,3.09,1.08,1.711
669,Robbie,Ray,2.84,193.33,52,201,3.69,1.04,1.309
670,Colin,Rea,7.50,6,0,10,5.84,1.17,1.667
671,Josh,Reddick,13.50,0.66,1,2,27.17,4.50,4.545
672,Cody,Reed,3.72,9.66,6,9,5.24,1.45,1.553
673,Jake,Reed,3.60,10,2,11,3.07,1.20,1.300
674,Sean,Reid-Foley,5.23,20.66,9,28,3.85,1.50,1.791
675,Alex,Reyes,3.24,72.33,52,58,4.40,1.35,1.521
676,Garrett,Richards,4.87,136.66,60,206,4.72,1.60,1.946
677,Trevor,Richards,3.50,64.33,22,69,4.20,0.96,1.415
678,Stephen,Ridings,1.80,5,2,5,1.57,1.20,1.400
679,Yacksel,Rios,4.28,27.33,16,32,4.89,1.24,1.756
680,Anthony,Rizzo,0.00,0.66,1,0,4.67,1.50,1.515
681,Tanner,Roark,6.43,7,2,12,8.17,1.29,2.000
682,David,Robertson,4.50,12,4,14,3.67,1.25,1.500
683,Daniel,Robertson,0.00,1,0,2,3.17,1.00,2.000
684,Hansel,Robles,4.43,69,37,85,4.30,1.38,1.768
685,Carlos,Rodon,2.37,132.66,36,110,2.65,0.96,1.101
686,Joely,Rodriguez,4.66,46.33,18,49,3.43,1.53,1.446
687,Nivaldo,Rodriguez,2.45,7.33,4,11,8.76,1.09,2.046
