index,FName,LName,ERA,IP,BB,Hard Hits,FIP,SIERA,WHIP,WHHIP
332,Luis,Guillorme,18.00,1,1,2,6.17,8.34,4.000,3.000
333,Preston,Guilmet,4.50,2,0,2,8.67,4.54,1.000,1.000
334,Jandel,Gustave,3.44,18.33,5,21,4.64,4.35,1.090,1.418
335,Vladimir,Gutierrez,4.74,114,46,135,5.22,5.08,1.410,1.588
336,Jorge,Guzman,32.40,1.66,6,4,10.37,10.69,6.000,6.024
337,Josh,Hader,1.23,58.66,24,29,1.69,2.09,0.840,0.904
338,Jesse,Hahn,13.50,3.1,4,8,13.67,6.72,2.700,3.871
339,David,Hale,6.41,26.66,9,37,5.16,4.47,1.460,1.725
340,J.D.,Hammer,4.95,20,11,30,4.87,4.33,1.600,2.050
341,Brad,Hand,3.90,64.66,26,68,4.58,4.23,1.270,1.454
342,Eric,Hanhold,6.97,10.33,3,18,5.69,5.07,1.550,2.033
343,J.A.,Happ,5.79,152.33,48,208,5.13,4.89,1.480,1.681
344,Blaine,Hardy,18.00,1,1,0,4.17,5.66,4.000,1.000
345,Ryne,Harper,4.04,35.66,14,29,4.96,4.35,1.180,1.206
346,Will,Harris,9.00,6,3,9,3.84,3.41,1.670,2.000
347,Geoff,Hartlieb,11.00,9,11,9,5.84,6.68,2.330,2.222
348,Ryan,Hartman,3.86,2.33,0,3,7.03,3.96,1.290,1.288
349,Matt,Harvey,6.27,127.66,37,182,4.60,4.85,1.540,1.715
350,Hunter,Harvey,4.15,8.66,3,11,4.32,4.52,1.270,1.617
351,Thomas,Hatch,6.75,9.33,6,15,6.49,5.64,1.820,2.251
352,Louis,Head,2.31,35,9,25,3.11,4.03,0.860,0.971
353,Andrew,Heaney,5.83,129.66,41,141,4.85,3.84,1.320,1.404
354,Taylor,Hearn,4.66,104.33,42,116,4.82,4.58,1.320,1.514
355,Jon,Heasley,4.91,14.66,3,27,6.03,5.51,1.230,2.046
356,Ryan,Helsley,4.56,47.33,27,57,3.99,4.58,1.420,1.775
357,Heath,Hembree,5.59,58,24,55,4.34,3.11,1.190,1.362
358,Kyle,Hendricks,4.77,181,44,197,4.89,4.70,1.350,1.331
359,Liam,Hendriks,2.54,71,7,57,2.34,1.57,0.730,0.901
360,Ryan,Hendrix,5.97,31.66,16,40,5.85,4.15,1.550,1.769
361,Sam,Hentges,6.68,68.66,32,92,4.48,4.53,1.780,1.806
362,Jimmy,Herget,5.30,18.66,4,16,2.85,3.22,1.290,1.072
363,Darwinzon,Hernandez,3.38,40,31,35,4.80,4.43,1.500,1.650
364,Carlos,Hernandez,3.68,85.66,41,93,4.08,4.91,1.280,1.564
365,Elieser,Hernandez,4.18,51.66,14,61,5.38,4.07,1.320,1.452
366,David,Hess,9.90,20,11,36,9.67,5.36,2.150,2.350
367,Codi,Heuer,4.28,67.33,23,73,3.97,4.26,1.310,1.426
368,Jordan,Hicks,5.40,10,10,3,4.17,5.80,1.500,1.300
369,Trevor,Hildenberger,15.43,2.33,3,2,10.46,5.41,2.570,2.146
370,Rich,Hill,3.86,158.66,55,153,4.34,4.43,1.210,1.311
371,Tim,Hill,3.62,59.66,23,66,4.71,3.80,1.240,1.492
372,Jeff,Hoffman,4.56,73,45,82,5.20,4.82,1.580,1.740
