index,FName,LName,ERA,IP,BB,Hard Hits,FIP,SIERA,WHIP,WHHIP
876,Taylor,Widener,4.35,70.33,37,90,5.56,4.81,1.450,1.806
877,Brad,Wieck,0.00,17,10,13,1.64,3.04,1.180,1.353
878,Stevie,Wilkerson,9.00,1,0,3,16.17,5.59,2.000,3.000
879,Trevor,Williams,4.35,91,31,105,3.88,4.14,1.490,1.495
880,Devin,Williams,2.50,54,28,31,2.82,2.90,1.190,1.093
881,Taylor,Williams,4.63,11.66,8,17,5.31,5.57,1.710,2.144
882,Justin,Wilson,5.29,34,16,37,5.26,4.69,1.410,1.559
883,Bryse,Wilson,5.35,74,22,107,5.49,5.27,1.450,1.743
884,Dan,Winkler,5.22,39.66,30,29,5.74,5.21,1.560,1.488
885,Matt,Wisler,3.70,48.66,11,31,2.96,2.91,1.070,0.863
886,Nick,Wittgren,5.05,62.33,17,91,4.84,3.57,1.250,1.733
887,Asher,Wojciechowski,4.50,4,3,3,7.42,6.26,1.500,1.500
888,Alex,Wood,3.83,138.66,39,153,3.48,3.60,1.180,1.385
889,Hunter,Wood,3.60,5,2,5,4.97,4.72,0.800,1.400
890,Jake,Woodford,3.99,67.66,25,86,4.50,4.88,1.340,1.641
891,Brandon,Woodruff,2.56,179.33,43,145,2.96,3.31,0.960,1.048
892,Brandon,Workman,5.46,28,21,48,5.49,5.42,2.040,2.464
893,Kyle,Wright,9.95,6.33,5,11,9.64,5.92,1.890,2.528
894,Mike,Wright Jr.,5.50,18,11,20,4.84,5.73,1.560,1.722
895,Austin,Wynns,9.00,1,0,3,16.17,8.63,1.000,3.000
896,Miguel,Yajure,8.40,15,7,19,8.50,5.42,1.600,1.733
897,Jordan,Yamamoto,4.05,6.66,2,8,4.07,5.91,1.800,1.502
898,Hyeon-jong,Yang,5.60,35.33,16,50,6.51,5.21,1.640,1.868
899,Ryan,Yarbrough,5.11,155,27,141,4.45,4.45,1.230,1.084
900,Eric,Yardley,6.75,18.66,10,29,6.81,5.91,1.820,2.090
901,Huascar,Ynoa,4.05,91,25,105,3.93,3.62,1.110,1.429
902,Alex,Young,6.58,52,27,69,6.25,4.93,1.770,1.846
903,Daniel,Zamora,6.23,4.33,1,7,5.48,4.25,1.380,1.848
904,Angel,Zerpa,0.00,5,1,4,2.17,4.07,0.800,1.000
905,T.J.,Zeuch,6.60,15,9,28,9.10,6.24,2.000,2.467
906,Kyle,Zimmer,4.83,54,30,56,4.82,4.85,1.410,1.593
907,Jordan,Zimmermann,7.94,5.66,2,11,7.05,6.51,1.760,2.297
908,Bruce,Zimmermann,5.04,64.33,22,91,5.38,4.59,1.510,1.757
909,Tyler,Zuber,6.26,27.33,17,35,6.17,5.09,1.570,1.903
