index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
1,Fernando Abad,472551,5.60,17.66,7,14,1.698,1.189
2,Cory Abbott,676265,6.75,17.33,11,13,1.789,1.385
3,Albert Abreu,656061,5.15,36.66,19,14,1.255,0.900
4,Bryan Abreu,650556,5.75,36,18,21,1.472,1.083
5,Domingo Acevedo,642758,3.27,11,4,6,1.182,0.909
6,Jason Adam,592094,5.91,10.66,6,7,1.500,1.220
7,Austin Adams,613534,4.10,52.66,35,10,1.196,0.855
8,Joan Adon,672851,3.38,5.33,3,4,1.688,1.313
9,Miguel Aguilar,620396,6.43,7,4,5,1.429,1.286
10,Keegan Akin,669211,6.63,95,40,68,1.579,1.137
11,R. J. Alaniz,595798,3.38,2.66,3,1,1.500,1.504
12,Andrew Albers,452027,7.58,19,9,17,1.737,1.368
13,Hanser Alberto,593643,0.00,0.33,0,0,0.000,0.000
14,Jorge Alcala,660896,3.92,59.66,13,23,0.972,0.603
15,Sandy Alcantara,645261,3.19,205.66,50,109,1.075,0.773
16,Sergio Alcantara,642727,0.00,0.33,0,0,0.000,0.000
17,Scott Alexander,518397,2.93,15.33,4,8,1.239,0.783
18,Tyler Alexander,641302,3.81,106.33,28,67,1.260,0.893
19,A. J. Alexy,669935,4.70,23,17,6,1.304,1.000
20,Kolby Allard,663465,5.41,124.66,31,82,1.275,0.906
21,Logan Allen,663531,6.26,50.33,17,36,1.490,1.053
22,Nick Allgeyer,680430,0.00,1,0,0,0.000,0.000
23,Yency Almonte,622075,7.55,47.66,29,25,1.594,1.133
24,Albert Almora,546991,27.00,1,1,1,2.000,2.000
25,Dan Altavilla,656186,6.75,1.33,0,1,0.750,0.752
27,Jose Alvarado,621237,4.20,55.66,47,25,1.599,1.294
28,Jose Alvarez,501625,2.37,64.66,19,23,1.113,0.650
29,Adbert Alzolay,640470,4.58,125.66,34,65,1.162,0.788
30,Brett Anderson,474463,4.22,96,28,75,1.354,1.073
31,Chase Anderson,502624,6.75,48,20,31,1.479,1.062
32,Drew Anderson,623454,3.27,22,6,11,1.182,0.773
33,Ian Anderson,666120,3.58,128.33,53,61,1.231,0.888
34,Nick Anderson,623433,4.50,6,2,2,1.000,0.667
35,Shaun Anderson,641312,8.49,23.33,12,22,2.057,1.457
36,Tanner Anderson,664196,3.60,5,0,3,1.000,0.600
37,Tyler Anderson,542881,4.53,167,38,92,1.246,0.778
38,Matt Andriese,542882,5.21,48.33,13,41,1.614,1.117
39,Tejay Antone,622088,2.14,33.66,13,11,0.891,0.713
40,Jonathan Arauz,660620,9.00,1,0,1,2.000,1.000
41,Chris Archer,502042,4.66,19.33,8,12,1.345,1.035
42,Kohei Arihara,685503,6.64,40.66,13,33,1.426,1.131
43,Shawn Armstrong,542888,6.75,36,15,24,1.500,1.083
44,Jake Arrieta,453562,7.39,98.66,44,81,1.774,1.267
45,Christian Arroyo,624414,0.00,1,1,1,2.000,2.000
46,Aaron Ashby,676879,4.55,31.66,12,15,1.168,0.853
47,Willians Astudillo,553902,2.25,4,2,1,0.750,0.750
48,Pedro Avila,658648,2.25,4,3,2,1.750,1.250
49,Luis Avilan,501593,12.60,5,3,4,2.000,1.400
50,John Axford,446099,54.00,0.33,1,2,9.000,9.091
51,Pedro Baez,520980,2.08,4.33,1,1,0.692,0.462
53,Bryan Baker,641329,0.00,1,0,0,1.000,0.000
54,Alberto Baldonado,593604,8.44,10.66,7,5,1.594,1.126
55,Anthony Banda,607455,4.28,33.66,13,23,1.545,1.070
56,Caleb Baragar,670056,1.57,23,12,11,1.348,1.000
57,Daniel Bard,453268,5.21,65.66,36,42,1.599,1.188
58,Joe Barlow,669618,1.55,29,12,6,0.828,0.621
59,Scott Barlow,605130,2.42,74.33,28,37,1.197,0.874
60,Charlie Barnes,656212,5.92,38,16,28,1.632,1.158
61,Jacob Barnes,606930,6.28,28.66,11,17,1.465,0.977
62,Matt Barnes,598264,3.79,54.66,20,27,1.116,0.860
63,Kyle Barraclough,607457,5.54,13,8,7,1.539,1.154
64,Manny Barreda,518435,13.50,2.66,2,3,2.250,1.880
65,Jaime Barria,642545,4.61,56.66,19,46,1.571,1.147
66,Anthony Bass,542914,3.82,61.33,24,33,1.288,0.929
67,Chris Bassitt,605135,3.15,157.33,39,72,1.055,0.706
68,Trevor Bauer,545333,2.59,107.66,37,48,1.003,0.790
69,Mike Baumann,657508,9.90,10,6,12,1.900,1.800
70,Shane Baz,669358,2.03,13.33,3,4,0.675,0.525
71,Eduard Bazardo,660825,0.00,3,2,0,1.000,0.667
72,Jeremy Beasley,676886,7.71,9.33,9,6,1.714,1.608
73,David Bednar,670280,2.23,60.66,19,22,0.973,0.676
74,Cam Bedrosian,592135,5.04,25,17,17,1.760,1.360
75,Tyler Beede,595881,27.00,1,0,1,2.000,1.000
76,Andrew Bellatti,571479,13.50,3.33,2,3,2.400,1.502
77,Anthony Bemboom,621532,18.00,1,0,3,3.000,3.000
79,Anthony Bender,669622,2.79,61.33,20,22,1.060,0.685
80,Wes Benjamin,605138,8.74,22.66,17,17,2.029,1.500
81,Travis Bergen,664157,1.69,10.66,8,3,1.219,1.032
82,Jose Berrios,621244,3.52,192,45,88,1.063,0.693
83,Dellin Betances,476454,9.00,1,1,0,1.000,1.000
84,Alec Bettinger,676424,13.50,10,3,8,2.100,1.100
85,Joe Biagini,607352,0.00,3,1,1,1.000,0.667
86,Phil Bickford,641360,2.81,51.33,19,25,1.071,0.857
87,Jesse Biddle,592145,8.44,10.66,8,5,1.688,1.220
88,Shane Bieber,669456,3.17,96.66,33,58,1.210,0.941
89,Brandon Bielak,656232,4.50,50,21,26,1.380,0.940
90,Paul Blackburn,621112,5.87,38.33,10,34,1.617,1.148
91,Alex Blandino,607468,9.82,3.66,4,1,2.182,1.366
92,Richard Bleier,542947,2.95,58,6,29,0.983,0.603
93,Scott Blewett,656240,1.80,5,5,2,1.600,1.400
94,Ronald Bolanos,671790,1.42,6.33,2,2,0.947,0.632
95,Ryan Borucki,621366,4.94,23.66,11,12,1.225,0.972
96,Akeem Bostick,641384,0.00,1,1,0,1.000,1.000
97,Ben Bowden,641386,6.56,35.66,21,28,1.822,1.374
98,Brad Boxberger,502202,3.34,64.66,25,25,1.067,0.773
99,Matt Boyd,571510,3.89,78.66,23,44,1.271,0.852
100,Brad Brach,542960,6.30,30,18,15,1.600,1.100
101,Archie Bradley,605151,3.71,51,22,31,1.431,1.039
102,Ryan Brasier,518489,1.50,12,4,3,1.333,0.583
103,Steven Brault,643230,5.86,27.66,12,20,1.627,1.157
105,John Brebbia,605154,5.89,18.33,4,13,1.582,0.927
106,Brandon Brennan,592165,0.00,3,2,1,1.667,1.000
107,Jake Brentz,641394,3.66,64,37,23,1.281,0.938
108,Colten Brewer,605155,36.00,1,3,2,7.000,5.000
109,Austin Brice,592169,6.59,13.66,7,13,1.537,1.464
110,Zack Britton,502154,5.89,18.33,14,7,1.691,1.146
111,Connor Brogdon,641401,3.43,57.66,18,27,1.127,0.780
112,Rex Brothers,571521,5.26,53,35,28,1.434,1.189
113,JT Brubaker,664141,5.36,124.33,38,78,1.295,0.933
114,Justin Bruihl,677865,2.89,18.66,7,7,1.071,0.750
115,Kris Bubic,663460,4.43,130,59,81,1.385,1.077
116,Ryan Buchter,488748,6.61,16.33,13,12,1.776,1.531
117,Walker Buehler,621111,2.47,207.66,52,88,0.968,0.674
118,J. B. Bukauskas,656266,7.79,17.33,7,14,1.789,1.212
119,Madison Bumgarner,518516,4.67,146.33,39,85,1.182,0.847
120,Aaron Bummer,607481,3.51,56.33,29,27,1.260,0.994
121,Dylan Bundy,605164,6.06,90.66,34,54,1.357,0.971
122,Zack Burdi,641420,5.40,10,5,10,1.800,1.500
123,Corbin Burnes,669203,2.43,167,34,52,0.940,0.515
124,Andy Burns,542992,18.00,1,0,2,3.000,2.000
125,Ryan Burr,621114,2.45,36.66,21,21,1.336,1.146
126,Beau Burrows,663366,13.91,11,10,10,2.364,1.818
127,Matt Bush,456713,6.75,4,1,3,1.250,1.000
128,Asdrubal Cabrera,452678,0.00,1.33,0,0,0.750,0.000
129,Edward Cabrera,665795,5.81,26.33,19,17,1.633,1.367
131,Genesis Cabrera,650893,3.73,70,36,29,1.257,0.929
132,Trevor Cahill,502239,6.57,37,14,26,1.514,1.081
133,Dan Camarena,547176,9.64,9.33,3,12,2.036,1.608
134,Paul Campbell,669294,6.41,26.66,10,18,1.575,1.050
135,Griffin Canning,656288,5.60,62.66,28,39,1.484,1.069
136,Drew Carlton,656290,4.91,3.66,4,4,2.727,2.186
137,Matt Carpenter,572761,0.00,1.33,0,0,1.500,0.000
138,Carlos Carrasco,471911,6.04,53.66,18,37,1.435,1.025
139,Daniel Castano,641447,4.87,20.33,8,13,1.475,1.033
140,Ryan Castellani,624418,5.40,3.33,4,4,2.700,2.402
141,Humberto Castellanos,528748,4.93,45.66,15,29,1.380,0.964
142,Diego Castillo,650895,2.78,58.33,17,27,0.977,0.754
143,Luis Castillo,622491,3.98,187.66,75,95,1.364,0.906
144,Anthony Castro,621593,4.74,24.66,8,16,1.257,0.973
145,Harold Castro,605612,0.00,2.66,3,0,1.125,1.128
146,Kervin Castro,665645,0.00,13.33,4,6,1.275,0.750
147,Miguel Castro,612434,3.45,70.33,43,27,1.294,0.995
148,Dylan Cease,656302,3.91,165.66,68,82,1.250,0.905
149,Luis Cessa,570666,2.51,64.66,19,29,1.144,0.742
150,Jhoulys Chacin,468504,4.34,64.33,28,28,1.259,0.871
151,Andrew Chafin,605177,1.83,68.66,19,22,0.932,0.597
152,Aroldis Chapman,547973,3.36,56.33,38,25,1.314,1.118
153,j. t. Chargois,608638,2.52,53.66,20,28,1.081,0.895
154,Tyler Chatwood,543022,5.63,32,21,16,1.469,1.156
155,Jesse Chavez,445926,2.14,33.66,11,16,1.010,0.802
157,Adam Cimber,643256,2.26,71.66,16,38,1.074,0.754
158,Steve Cishek,518553,3.42,68.33,41,28,1.493,1.010
159,Jose Cisnero,542585,3.65,61.66,31,25,1.330,0.908
160,Aaron Civale,650644,3.84,124.33,31,69,1.118,0.804
161,Taylor Clarke,664199,4.98,43.33,14,32,1.523,1.062
162,Emmanuel Clase,661403,1.29,69.66,16,27,0.962,0.617
163,Alex Claudio,592222,5.51,32.66,15,23,1.592,1.164
164,Sam Clay,621348,5.60,45,22,33,1.711,1.222
165,Garrett Cleavinger,664076,3.00,18,12,15,1.778,1.500
166,Tyler Clippard,461325,3.20,25.33,11,14,1.303,0.987
167,Alex Cobb,502171,3.76,93.33,33,41,1.264,0.793
168,Kyle Cody,621129,7.94,11.33,2,12,1.588,1.236
169,A. J. Cole,595918,1.13,8,1,5,0.875,0.750
170,Gerrit Cole,543037,3.23,181.33,41,81,1.059,0.673
171,Dylan Coleman,669395,1.42,6.33,1,2,0.947,0.474
172,Alex Colome,517008,4.15,65,23,44,1.400,1.031
173,Adam Conley,543045,2.29,19.66,6,10,1.017,0.814
174,Roansy Contreras,672710,0.00,3,1,3,1.333,1.333
175,Sam Coonrod,656322,4.04,42.33,15,20,1.323,0.827
176,Patrick Corbin,571578,5.82,171.66,60,112,1.468,1.002
177,Nestor Cortes,641482,2.90,93,25,43,1.075,0.731
178,Jharel Cotton,605194,3.52,30.66,15,12,1.402,0.881
179,Danny Coulombe,543056,3.67,34.33,7,19,1.223,0.757
180,Jake Cousins,664776,2.70,30,19,10,1.167,0.967
181,Kutter Crawford,676710,22.50,2,2,3,3.500,2.500
183,Stefan Crichton,592233,7.33,23.33,12,20,1.929,1.372
184,Kyle Crick,605195,4.44,24.33,19,4,1.356,0.945
185,Nabil Crismatt,622503,3.76,81.33,24,48,1.365,0.885
186,Cooper Criswell,681867,20.25,1.33,0,6,4.500,4.511
187,Garrett Crochet,676979,2.82,54.33,27,23,1.270,0.920
188,Jake Cronenworth,630105,0.00,0.66,0,0,1.500,0.000
189,Hans Crouse,668968,5.14,7,7,4,1.571,1.571
190,Wil Crowe,640444,5.48,116.66,57,73,1.569,1.114
191,Johnny Cueto,456501,4.08,114.66,30,64,1.369,0.820
192,Charlie Culberson,518586,0.00,2,0,0,1.000,0.000
193,John Curtiss,595928,3.45,44.33,12,25,1.218,0.835
194,Yu Darvish,506433,4.22,166.33,44,77,1.094,0.727
195,Tucker Davidson,656353,3.60,20,8,12,1.150,1.000
196,Zach Davies,605200,5.78,148,75,106,1.601,1.223
197,Austin Davis,656354,5.13,26.33,12,17,1.367,1.101
198,Wade Davis,451584,6.75,42.66,19,25,1.477,1.031
199,Grant Dayton,594795,6.23,13,6,7,1.615,1.000
200,Brett de Geus,676969,7.56,50,25,35,1.740,1.200
201,Chase De Jong,608328,5.77,43.66,19,39,1.557,1.328
202,Jose De Leon,592254,8.35,18.33,11,16,1.800,1.473
203,Enyel De Los Santos,660853,6.37,35.33,18,31,1.726,1.387
204,Jacob deGrom,594798,1.08,92,11,25,0.554,0.391
205,Miguel Del Pozo,600887,3.38,5.33,2,4,1.875,1.126
206,Anthony DeSclafani,543101,3.17,167.66,42,84,1.092,0.752
207,Reid Detmers,672282,7.40,20.66,11,17,1.790,1.355
209,Ross Detwiler,446321,4.64,52.33,20,27,1.223,0.898
210,Chris Devenski,606965,8.59,7.33,2,6,1.773,1.091
211,Edwin Díaz,621242,3.45,62.66,23,19,1.053,0.670
212,Jhonathan Diaz,646242,4.15,13,7,6,1.385,1.000
213,Miguel Diaz,622766,3.64,42,19,24,1.191,1.024
214,Yennsy Díaz,660546,5.40,25,12,19,1.480,1.240
215,Brandon Dickson,505447,13.50,2,0,5,2.500,2.500
216,Jake Diekman,518617,3.86,60.66,34,26,1.335,0.989
217,Wilmer Difo,594694,36.00,2,3,4,6.000,3.500
218,Marcos Diplan,650959,4.50,30,15,13,1.233,0.933
219,Randy Dobnak,677976,7.64,50.66,12,49,1.540,1.204
220,Kyle Dohy,675971,0.00,1,1,1,2.000,2.000
221,Rafael Dolis,503569,5.63,32,27,12,1.750,1.219
222,Seranthony Dominguez,622554,0.00,1,0,0,0.000,0.000
223,Sean Doolittle,448281,4.53,49.66,23,33,1.470,1.128
224,Camilo Doval,666808,3.00,27,9,9,1.037,0.667
225,Brandon Drury,592273,27.00,0.66,1,2,6.000,4.545
226,Tyler Duffey,608648,3.18,62.33,28,28,1.219,0.898
227,Danny Duffy,518633,2.51,61,22,31,1.213,0.869
228,Matt Duffy,592274,0.00,0.33,0,0,0.000,0.000
229,Robert Dugger,667498,7.36,25.66,12,19,1.792,1.208
230,Justin Dunn,643290,3.75,50.33,29,19,1.311,0.954
231,Dane Dunning,641540,4.51,117.66,43,78,1.436,1.028
232,Jon Duplantier,641541,13.15,13,8,13,2.077,1.615
233,Adam Eaton,594809,0.00,1,0,1,2.000,1.000
235,Carl Edwards,605218,11.12,5.66,3,8,2.471,1.943
236,Scott Effross,664123,3.68,14.66,1,5,0.955,0.409
237,Zach Eflin,621107,4.17,105.66,16,63,1.249,0.748
238,Jerad Eickhoff,595191,8.69,19.66,10,22,2.034,1.628
239,Seth Elledge,676220,4.63,11.66,7,7,1.714,1.201
240,Chris Ellis,595939,2.15,29.33,14,18,1.193,1.091
241,Kent Emanuel,592288,2.55,17.66,4,5,0.906,0.510
242,Dietrich Enns,608650,2.82,22.33,6,10,1.030,0.717
243,Nathan Eovaldi,543135,3.75,182.33,35,96,1.190,0.718
244,Thomas Eshelman,664045,7.16,27.66,10,19,1.590,1.048
245,Raynel Espinal,642659,9.00,2,1,1,1.500,1.000
246,Paolo Espino,502179,4.27,109.66,25,77,1.213,0.930
247,Carlos Estevez,608032,4.38,61.66,21,37,1.492,0.941
248,Demarcus Evans,663770,5.13,26.33,16,11,1.519,1.025
249,Phillip Evans,595943,0.00,1,0,0,0.000,0.000
250,Pete Fairbanks,664126,3.59,42.66,21,21,1.430,0.985
251,Bailey Falter,663559,5.61,33.66,6,22,1.188,0.832
252,Jeurys Familia,544727,3.94,59.33,27,34,1.416,1.028
253,Jake Faria,607188,5.51,32.66,13,23,1.592,1.102
254,Buck Farmer,571656,6.37,35.33,21,26,1.726,1.330
255,Luke Farrell,608652,4.74,24.66,13,18,1.662,1.257
256,Erick Fedde,607200,5.47,133.33,48,91,1.440,1.043
257,Michael Feliz,593140,7.20,20,7,19,1.650,1.300
258,Neftali Feliz,491703,9.00,4,1,2,1.500,0.750
259,Ryan Feltner,663372,11.37,6.33,5,6,2.211,1.738
261,Julian Fernandez,642759,10.80,6.66,4,6,1.950,1.502
262,Junior Fernandez,658551,5.66,20.66,15,15,1.936,1.452
263,J. P. Feyereisen,656420,2.73,56,33,19,1.232,0.929
264,Mike Fiers,571666,7.71,9.33,4,10,2.036,1.501
265,Kyle Finnegan,640448,3.55,66,34,40,1.485,1.121
266,Jay Flaa,664852,13.50,2.66,3,2,2.250,1.880
267,Jack Flaherty,656427,3.22,78.33,26,31,1.060,0.728
268,Josh Fleming,676596,5.09,104.33,31,61,1.351,0.882
269,Aaron Fletcher,667465,12.27,3.66,1,3,2.182,1.093
270,Chris Flexen,623167,3.61,179.66,40,104,1.252,0.802
271,Bernardo Flores,641576,Infinity,0,2,1,NaN,0.000
272,Dylan Floro,571670,2.81,64,25,30,1.219,0.859
273,Jason Foley,671345,2.61,10.33,5,5,1.258,0.968
274,Mike Foltynewicz,592314,5.44,139,36,102,1.259,0.993
275,Matt Foster,641582,6.00,39,13,23,1.436,0.923
276,Seth Frankoff,571676,9.20,14.66,9,13,1.977,1.501
277,Kyle Freeland,607536,4.33,120.66,38,70,1.417,0.895
278,Mike Freeman,502273,0.00,0.33,0,0,0.000,0.000
279,Luis Frias,666818,2.70,3.33,5,2,2.100,2.102
280,Max Fried,608331,3.04,165.66,41,70,1.087,0.670
281,Jace Fry,605240,10.80,6.66,6,6,2.400,1.802
282,Paul Fry,643316,6.08,47.33,35,19,1.521,1.141
283,Joshua Fuentes,658069,0.00,1,0,1,1.000,1.000
284,Carson Fulmer,608334,6.66,25.66,13,17,1.520,1.169
285,Michael Fulmer,605242,2.97,69.66,20,31,1.278,0.732
287,Kyle Funkhouser,608335,3.42,68.33,38,35,1.405,1.068
288,Giovanny Gallegos,606149,3.02,80.33,20,31,0.884,0.635
289,Zac Gallen,668678,4.30,121.33,49,65,1.294,0.940
290,John Gant,607231,4.09,110,71,54,1.509,1.136
291,Bryan Garcia,650530,7.55,39.33,25,28,1.856,1.348
292,Deivi Garcia,665620,6.48,8.33,4,4,1.440,0.960
293,Edgar Garcia,658305,12.27,14.66,8,10,1.841,1.228
294,Jarlin Garcia,606424,2.62,68.66,18,32,0.961,0.728
295,Luis Garcia,472610,3.24,33.33,8,13,0.990,0.630
296,Luis Garcia,677651,3.48,155.33,50,83,1.178,0.856
297,Robel Garcia,596825,36.00,1,0,2,5.000,2.000
298,Rony Garcia,665621,2.45,3.66,2,1,0.818,0.820
299,Yimi Garcia,554340,4.21,57.66,18,25,1.162,0.746
300,Amir Garrett,607237,6.04,47.66,29,33,1.573,1.301
301,Braxton Garrett,666129,5.03,34,20,23,1.824,1.265
302,Justin Garza,621057,4.71,28.66,18,20,1.570,1.326
303,Ralph Garza,621248,3.56,30.33,14,15,1.253,0.956
304,Kevin Gausman,592332,2.81,192,50,99,1.042,0.776
305,Domingo German,593334,4.58,98.33,27,57,1.180,0.854
306,Ian Gibaut,664139,2.70,6.66,2,6,1.350,1.201
307,Kyle Gibson,502043,3.71,182,64,86,1.220,0.824
308,Luis Gil,661563,3.07,29.33,19,13,1.330,1.091
309,Logan Gilbert,669302,4.68,119.33,28,76,1.173,0.872
310,Tyler Gilbert,656457,3.15,40,13,13,1.025,0.650
311,Lucas Gilbreath,656458,3.38,42.66,23,15,1.313,0.891
313,Kevin Ginkel,656464,6.35,28.33,14,15,1.553,1.024
314,Lucas Giolito,608337,3.53,178.66,52,71,1.103,0.688
315,Mychal Givens,571710,3.35,51,27,18,1.373,0.882
316,Tyler Glasnow,607192,2.66,88,27,39,0.932,0.750
317,Zack Godley,643327,16.20,3.33,5,3,2.700,2.402
318,Austin Gomber,596295,4.53,115.33,41,60,1.240,0.876
319,Stephen Gonsalves,624427,4.15,4.33,2,1,0.923,0.693
320,Tony Gonsolin,664062,3.23,55.66,34,22,1.347,1.006
321,Marco Gonzales,594835,3.96,143.33,42,89,1.165,0.914
322,Chi Chi Gonzalez,592346,6.46,101.66,28,83,1.525,1.092
323,Marwin Gonzalez,503556,0.00,1,0,0,0.000,0.000
324,Romy Gonzalez,663853,0.00,0.33,0,0,0.000,0.000
325,Victor Gonzalez,624647,3.57,35.33,19,15,1.443,0.962
326,Anthony Gose,543238,1.35,6.66,2,1,0.600,0.450
327,Ashton Goudeau,623485,4.19,34.33,17,15,1.194,0.932
328,Brusdar Graterol,660813,4.59,33.33,13,15,1.410,0.840
329,Kendall Graveman,608665,1.77,56,20,17,0.982,0.661
330,Jon Gray,592351,4.59,149,58,87,1.329,0.973
331,Josiah Gray,680686,5.48,70.66,33,38,1.359,1.005
332,Sonny Gray,543243,4.19,135.33,50,61,1.219,0.820
333,Chad Green,643338,3.12,83.66,17,38,0.885,0.657
334,Conner Greene,641632,7.11,25.33,12,15,1.737,1.066
335,Shane Greene,572888,7.23,23.66,14,19,1.648,1.395
