index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
511,Joe Mantiply,573009,3.40,39.66,17,28,1.563,1.135
512,Dillon Maples,596027,2.59,31.33,25,8,1.277,1.053
513,Nick Margevicius,676606,8.25,12,7,8,1.667,1.250
514,German Marquez,608566,4.40,180,64,105,1.272,0.939
515,Evan Marshall,605359,5.60,27.33,9,17,1.354,0.951
516,Jose Marte,665896,9.00,4,3,3,1.750,1.500
517,Brett Martin,656685,3.18,62.33,14,28,1.300,0.674
518,Chris Martin,455119,3.95,43.33,6,34,1.269,0.923
519,Corbin Martin,656686,10.69,16,14,18,2.313,2.000
521,Carlos Martinez,593372,6.23,82.33,36,49,1.373,1.032
522,Seth Martinez,661527,15.00,3,3,3,2.667,2.000
523,Wyatt Mathisen,621500,0.00,1,0,1,1.000,1.000
524,Nick Maton,665155,0.00,0.33,0,0,0.000,0.000
525,Phil Maton,664208,4.73,66.66,32,32,1.455,0.960
526,Isaac Mattson,676755,6.23,4.33,5,2,2.308,1.617
527,Steven Matz,571927,3.82,150.66,43,96,1.334,0.923
528,Tyler Matzek,554431,2.57,63,37,23,1.222,0.952
529,Dustin May,669160,2.74,23,6,12,0.957,0.783
530,Trevor May,543507,3.59,62.66,24,30,1.261,0.862
531,Mike Mayers,594577,3.84,75,26,40,1.293,0.880
532,Jack Mayfield,608686,0.00,0.33,0,0,0.000,0.000
533,Tim Mayza,641835,3.40,53,12,23,0.981,0.660
534,Chris Mazza,607391,4.61,27.33,7,13,1.207,0.732
535,Darren McCaughan,670766,8.00,9,4,6,1.333,1.111
536,Shane McClanahan,663556,3.43,123.33,37,76,1.273,0.916
537,Lance McCullers,621121,3.16,162.33,76,68,1.220,0.887
538,T. J. McFarland,519008,2.56,38.66,9,21,1.060,0.776
539,Jake McGee,459429,2.72,59.66,10,34,0.905,0.738
540,Kyle McGowin,641851,4.20,30,14,12,1.167,0.867
541,Collin McHugh,543521,1.55,64,12,25,0.938,0.578
542,Triston McKenzie,663474,4.95,120,58,58,1.183,0.967
543,Alex McRae,656725,4.50,2,1,3,2.000,2.000
544,John Means,607644,3.62,146.66,26,82,1.030,0.736
545,Nick Mears,683232,5.01,23.33,13,10,1.629,0.986
547,Adonis Medina,658431,3.52,7.66,4,6,1.696,1.305
548,Trevor Megill,656730,8.37,23.66,8,24,1.859,1.352
549,Tylor Megill,656731,4.52,89.66,27,59,1.283,0.959
550,Ryan Meisinger,664682,12.27,7.33,5,8,2.182,1.774
551,Francisco Mejia,642336,27.00,2,0,3,3.000,1.500
552,Humberto Mejia,650668,7.25,22.33,9,19,1.836,1.254
553,J. C. Mejia,650496,8.25,52.33,24,41,1.605,1.242
554,Mark Melancon,453343,2.23,64.66,25,23,1.222,0.742
555,Keury Mella,622492,32.40,1.66,2,4,6.000,3.614
556,Danny Mendick,664901,0.00,1,0,1,1.000,1.000
557,Conner Menez,669214,3.86,14,3,9,1.357,0.857
558,Yermin Mercedes,606213,9.00,1,2,0,5.000,2.000
559,Julian Merryweather,657240,4.85,13,4,6,1.308,0.769
560,Keynan Middleton,641871,4.94,31,19,16,1.581,1.129
561,Miles Mikolas,571945,4.23,44.66,11,27,1.209,0.851
562,Wade Miley,489119,3.37,163,50,93,1.325,0.877
563,Andrew Miller,453192,4.75,36,16,24,1.583,1.111
564,Justin Miller,502522,6.16,19,6,15,1.368,1.105
565,Shelby Miller,571946,9.24,12.66,11,9,2.132,1.580
566,Alec Mills,621219,5.07,119,34,77,1.437,0.933
567,Wyatt Mills,670090,9.95,12.66,7,8,2.053,1.185
